scene,variable,mean,std,min,max,n_pixels
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,nersc_sar_primary,-16.321892998026286,6.89615164094191,-88.98534393310547,16.290252685546875,22105355
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,nersc_sar_secondary,-23.209581665373296,7.3298823521704914,-79.43069458007812,23.286842346191406,22089258
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_6_9h,132.48278513737924,56.49018340935774,78.0546875,218.9296875,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_6_9v,193.38324259636676,34.205298368782444,159.78125,243.5,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_18_7h,149.62168975191224,52.47648950857567,97.140625,229.40625,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_18_7v,209.27285093347425,25.968604402550735,182.578125,249.359375,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_36_5h,174.08741649682972,39.94518953444711,129.375,233.703125,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_36_5v,224.57109170566628,15.736913798444961,206.0390625,250.6328125,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_89_0h,197.6980369678442,20.230112876764686,165.0078125,232.8125,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,btemp_89_0v,239.1434524708132,4.930717540798907,217.0390625,256.1484375,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,u10m_rotated,2.4764087173269314,1.5204530879519,-1.0400657194228418,6.06589819718316,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,v10m_rotated,-2.214501735672012,2.7916944948895797,-6.8848783225851955,2.56112326848769,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,t2m,264.6538150375784,7.094110596332912,249.06805419921875,272.18670654296875,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,skt,263.3356013674283,15.075961806283475,239.9453125,277.26220703125,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,tcwv,2.735858196437647,0.8942216108770948,1.1857552528381348,4.101436614990234,9936
S1A_EW_GRDM_1SDH_20180213T202018_20180213T202033_020593_0233F5_596A_icechart_dmi_201802132020_CapeFarewell_RIC.nc,tclw,0.004757560247722609,0.005822456425313792,0.0,0.027112197130918503,9936
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,nersc_sar_primary,-15.697402949422111,6.063689013397946,-34.18174743652344,20.421363830566406,108190329
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,nersc_sar_secondary,-25.0439287964717,4.622599621043351,-72.03257751464844,11.674095153808594,108190292
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_6_9h,131.95508297496502,63.64408048214689,74.9609375,237.296875,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_6_9v,192.8822622370025,39.99848373153822,157.890625,258.890625,44297
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_18_7h,148.89020067215225,54.952001756623794,96.8125,242.2890625,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_18_7v,210.1327426557738,28.560152814179574,183.625,260.5625,44295
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_36_5h,172.9111234212041,39.55222327605711,129.71875,250.6640625,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_36_5v,224.0653576638937,15.144539785455487,208.9296875,258.3125,44297
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_89_0h,203.35494142653167,19.6710895680739,171.8203125,256.5234375,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,btemp_89_0v,241.37480262823698,8.636365992409258,194.5234375,261.5546875,44293
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,u10m_rotated,-0.5180069536120229,2.2773257617199176,-5.064307312639818,4.732005626904941,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,v10m_rotated,-3.539354823049428,3.77879669973723,-12.864291734254476,3.089718959102203,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,t2m,270.62598760168174,4.252108126539071,256.8898620605469,275.5639953613281,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,skt,269.79360834326917,5.648191041293874,247.8805694580078,276.5433349609375,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,tcwv,4.922441453009385,1.088843271391132,1.1069331169128418,6.309821605682373,44298
S1A_EW_GRDM_1SDH_20180328T183523_20180328T183628_021219_0247D4_10DB_icechart_dmi_201803281835_CentralEast_RIC.nc,tclw,0.021451896114701316,0.02147630254226638,5.960464477539063e-08,0.10958784818649292,44298
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,nersc_sar_primary,-20.156995704191313,6.388402244550709,-36.460968017578125,13.719123840332031,103012355
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,nersc_sar_secondary,-26.792265102391667,3.3946208741602883,-41.55462646484375,-0.7220535278320312,103012355
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_6_9h,106.39225744860119,51.424367361321465,74.9453125,236.1171875,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_6_9v,176.3260173804059,30.459520438427397,158.359375,256.359375,41390
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_18_7h,129.10067332606542,45.81521197912641,99.9296875,244.4453125,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_18_7v,200.12507172799536,23.051283412445816,186.109375,262.8515625,41389
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_36_5h,158.71909296478617,36.79512359056779,131.796875,256.2109375,41390
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_36_5v,220.67842492902875,14.995797882591424,205.40625,263.2265625,41390
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_89_0h,205.93628402172075,22.376901469716284,183.25,266.8984375,41389
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,btemp_89_0v,249.07093184454055,6.354610792829718,215.96875,269.9609375,41387
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,u10m_rotated,-1.2701733285752006,1.2795663507336528,-3.9079600276136666,1.0910080115407308,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,v10m_rotated,0.11265177072256197,3.1619446053044094,-5.518531848501115,6.795993698201011,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,t2m,274.9825430716333,1.6752577069256986,271.31817626953125,277.9828186035156,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,skt,275.99736168414967,1.6385682581832615,271.96087646484375,280.01263427734375,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,tcwv,9.398977214620986,0.8243381870371009,6.011690139770508,11.661495208740234,41392
S1A_EW_GRDM_1SDH_20180728T101728_20180728T101828_022993_027EDA_C7D9_icechart_cis_SGRDIEA_20180728T1018Z_pl_a.nc,tclw,0.04696753190854838,0.03126822806542196,0.00013509392738342285,0.15647277235984802,41392
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,nersc_sar_primary,-13.08455574888942,4.732856757764328,-92.63240051269531,19.875816345214844,103527791
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,nersc_sar_secondary,-22.502775559190557,5.595804389590274,-79.53742218017578,15.079208374023438,103338193
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,btemp_6_9h,210.5264547648096,21.002999815425753,123.484375,236.328125,41392
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,btemp_6_9v,243.19856703172206,15.918321496451838,164.1484375,257.0078125,41375
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,btemp_18_7h,210.3571338513481,20.214601009046607,154.4609375,242.375,41392
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,btemp_18_7v,242.27718817967616,16.195656988119854,191.0859375,260.375,41380
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,btemp_36_5h,214.21300330528845,17.68729205389203,154.8828125,250.5078125,41392
S1A_EW_GRDM_1SDH_20180306T101622_20180306T101722_020893_023D76_206D_icechart_dmi_201803061015_CentralWest_RIC.nc,btemp_36_5v,235.53792995270481,15.44381621001039,189.0703125,260.09375,41389
